,住所CD,都道府県CD,市区町村CD,町域CD,郵便番号,事業所フラグ,廃止フラグ,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ,町域補足,京都通り名,字丁目,字丁目カナ,補足,事業所名,事業所名カナ,事業所住所,新住所CD,住所,lat,lonn
46457,162845000,13,13104,131040008,162-8450,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷砂土原町,イチガヤサドハラチョウ,,,,,,株式会社　偕成社,カブシキガイシヤ　カイセイシヤ,市谷砂土原町３丁目５,,東京都新宿区市谷砂土原町３丁目５,35.696412,
46458,162800500,13,13104,131040008,162-8005,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷砂土原町,イチガヤサドハラチョウ,,,,,,公益財団法人　東京都予防医学協会,コウエキザイダンホウジン　トウキヨウトヨボウイガクキヨウカイ,市谷砂土原町１－２－５９,,東京都新宿区市谷砂土原町１－２－５９,35.694281,
46459,162840200,13,13104,131040008,162-8402,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷砂土原町,イチガヤサドハラチョウ,,,,,,公益財団法人　東京都予防医学協会,コウエキザイダンホウジン　トウキヨウトヨボウイガクキヨウカイ,市谷砂土原町１－２－５９,,東京都新宿区市谷砂土原町１－２－５９,35.694281,
46460,162842200,13,13104,131040008,162-8422,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷砂土原町,イチガヤサドハラチョウ,,,,,,菱電エレベータ施設　株式会社,リヨウデンエレベ－タシセツ　カブシキガイシヤ,市谷砂土原町２丁目４番地,,東京都新宿区市谷砂土原町２丁目４番地,35.695795,
46465,162847800,13,13104,131040012,162-8478,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷田町,イチガヤタマチ,,,,,,中央大学　市ヶ谷田町キャンパス,チユウオウダイガク　イチガヤタマチキヤンパス,市谷田町１丁目１８番,,東京都新宿区市谷田町１丁目１８番,35.693687,
46466,162847600,13,13104,131040012,162-8476,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷田町,イチガヤタマチ,,,,,,株式会社　インテリジェンス,カブシキガイシヤ　インテリジエンス,市谷田町１丁目１８,,東京都新宿区市谷田町１丁目１８,35.693687,
46471,162841500,13,13104,131040016,162-8415,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷船河原町,イチガヤフナガワラマチ,,,,,,アンスティチュ・フランセ東京,アンステイチユ・フランセトウキヨウ,市谷船河原町１５,,東京都新宿区市谷船河原町１５,35.698347,
46472,162844800,13,13104,131040016,162-8448,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷船河原町,イチガヤフナガワラマチ,,,,,,一般社団法人　家の光協会,イツパンシヤダンホウジン　イエノヒカリキヨウカイ,市谷船河原町１１,,東京都新宿区市谷船河原町１１,35.698325,
46474,162847300,13,13104,131040017,162-8473,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷本村町,イチガヤホンムラチョウ,,,,,,中央大学　市ヶ谷キャンパス,チユウオウダイガク　イチガヤキヤンパス,市谷本村町４２－８,,東京都新宿区市谷本村町４２－８,35.69277,
46475,162847100,13,13104,131040017,162-8471,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷本村町,イチガヤホンムラチョウ,,,,,,経済アナリスト協会,ケイザイアナリストキヨウカイ,市谷本村町３－２１経済法令ビル,,東京都新宿区市谷本村町３－２１経済法令ビル,35.690911,
46476,162846400,13,13104,131040017,162-8464,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷本村町,イチガヤホンムラチョウ,,,,,,銀行業務検定協会,ギンコウギヨウムケンサキヨウカイ,市谷本村町３－２１,,東京都新宿区市谷本村町３－２１,35.690894,
46477,162845500,13,13104,131040017,162-8455,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷本村町,イチガヤホンムラチョウ,,,,,,株式会社　井田両国堂,カブシキガイシヤ　イダリヨウゴクドウ,市谷本村町１－１住友市ケ谷ビル,,東京都新宿区市谷本村町１－１住友市ケ谷ビル,35.691178,
46478,162842100,13,13104,131040017,162-8421,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷本村町,イチガヤホンムラチョウ,,,,,,株式会社　経済法令研究会,カブシキガイシヤ　ケイザイホウレイケンキユウカイ,市谷本村町３－２１,,東京都新宿区市谷本村町３－２１,35.690894,
46479,162841200,13,13104,131040017,162-8412,1,0,東京都,トウキョウト,新宿区,シンジュクク,市谷本村町,イチガヤホンムラチョウ,,,,,,独立行政法人　日本学生支援機構,ドクリツギヨウセイホウジン　ニホンガクセイシエンキコウ,市谷本村町１０－７,,東京都新宿区市谷本村町１０－７,35.694615,
